Source,Magnitude,Phase
4x2_array1_Module_0_Bump_h1:1,0W,0deg
4x2_array1_Module_0_Bump_v1:1,0W,0deg
4x2_array1_Module_0_Bump_h2:1,0W,0deg
4x2_array1_Module_0_Bump_v2:1,0W,0deg
4x2_array1_Module_0_Bump_h3:1,0W,0deg
4x2_array1_Module_0_Bump_v3:1,0W,0deg
4x2_array1_Module_0_Bump_h4:1,0W,0deg
4x2_array1_Module_0_Bump_v4:1,0W,0deg
4x2_array1_Module_1_Bump_h5:1,0W,0deg
4x2_array1_Module_1_Bump_v5:1,0W,0deg
4x2_array1_Module_1_Bump_h6:1,0W,0deg
4x2_array1_Module_1_Bump_v6:1,0W,0deg
4x2_array1_Module_1_Bump_h7:1,0W,0deg
4x2_array1_Module_1_Bump_v7:1,0W,0deg
4x2_array1_Module_1_Bump_h8:1,0W,0deg
4x2_array1_Module_1_Bump_v8:1,1W,0deg
